M: 10, N: 10, Matches: 0
M: 10, N: 100, Matches: 0
M: 10, N: 1000, Matches: 0
M: 10, N: 10000, Matches: 2
M: 10, N: 100000, Matches: 13
M: 100, N: 10, Matches: 0
M: 100, N: 100, Matches: 0
M: 100, N: 1000, Matches: 1
M: 100, N: 10000, Matches: 14
M: 100, N: 100000, Matches: 138
M: 1000, N: 10, Matches: 0
M: 1000, N: 100, Matches: 0
M: 1000, N: 1000, Matches: 16
M: 1000, N: 10000, Matches: 161
M: 1000, N: 100000, Matches: 1494
M: 10000, N: 10, Matches: 1
M: 10000, N: 100, Matches: 16
M: 10000, N: 1000, Matches: 156
M: 10000, N: 10000, Matches: 1408
M: 10000, N: 100000, Matches: 14129
M: 100000, N: 10, Matches: 2
M: 100000, N: 100, Matches: 21
M: 100000, N: 1000, Matches: 135
M: 100000, N: 10000, Matches: 1501
M: 100000, N: 100000, Matches: 14481
