N: 10000, M: 2, Result: 3617
N: 10000, M: 3, Result: 2692
N: 10000, M: 5, Result: 646
N: 10000, M: 10, Result: 9143
N: 100000, M: 2, Result: 68929
N: 100000, M: 3, Result: 92620
N: 100000, M: 5, Result: 40333
N: 100000, M: 10, Result: 77328
N: 1000000, M: 2, Result: 951425
N: 1000000, M: 3, Result: 637798
N: 1000000, M: 5, Result: 718997
N: 1000000, M: 10, Result: 630538
N: 10000000, M: 2, Result: 3222785
N: 10000000, M: 3, Result: 3093025
N: 10000000, M: 5, Result: 162541
N: 10000000, M: 10, Result: 4856384
